OrderID,City,State
CA-2017-128867,Urbandale,Iowa
CA-2015-115259,Columbus,Ohio
CA-2016-110457,Seattle,Washington
US-2016-136476,Bristol,Tennessee
CA-2017-103730,Wilmington,Delaware
US-2015-152030,Houston,Texas
US-2015-134614,Bloomington,Illinois
US-2018-107272,Phoenix,Arizona
US-2017-125969,Los Angeles,California
US-2018-164147,Columbus,Ohio
CA-2017-145583,Roseville,California
CA-2017-110366,Philadelphia,Pennsylvania
CA-2018-106180,San Francisco,California
CA-2018-155376,Independence,Missouri
CA-2016-110744,Pasadena,California
CA-2015-110072,Newark,Ohio
CA-2017-114489,Franklin,Wisconsin
CA-2017-158834,Scottsdale,Arizona
CA-2016-124919,San Jose,California
CA-2016-118948,Seattle,Washington
CA-2015-104269,Seattle,Washington
CA-2017-114104,Edmond,Oklahoma
CA-2017-162733,Los Angeles,California
CA-2016-119697,Philadelphia,Pennsylvania
CA-2017-154508,Carlsbad,New Mexico
CA-2017-113817,Seattle,Washington
CA-2015-139892,San Antonio,Texas
CA-2015-118962,Los Angeles,California
US-2015-100853,Chicago,Illinois
US-2018-152366,Houston,Texas
US-2016-101511,Newark,Ohio
CA-2016-137225,New York City,New York
CA-2015-166191,Decatur,Illinois
CA-2015-158274,Monroe,Louisiana
CA-2017-105018,Fairfield,Connecticut
CA-2015-123260,Los Angeles,California
CA-2017-157000,Grand Prairie,Texas
CA-2016-102281,New York City,New York
CA-2016-131457,Redlands,California
CA-2015-140004,Hamilton,Ohio
CA-2018-107720,Westfield,New Jersey
US-2018-124303,Philadelphia,Pennsylvania
CA-2018-105074,Akron,Ohio
CA-2015-133690,Denver,Colorado
US-2018-116701,Dallas,Texas
CA-2018-126382,Franklin,Tennessee
CA-2018-108329,Whittier,California
CA-2018-135860,Saginaw,Michigan
CA-2016-101007,Dallas,Texas
CA-2016-146262,Medina,Ohio
CA-2017-130162,Los Angeles,California
CA-2016-169397,Dublin,Ohio
CA-2016-163055,Detroit,Michigan
US-2016-145436,Columbia,Tennessee
US-2015-156216,Charlotte,North Carolina
US-2018-100930,Tampa,Florida
CA-2018-160514,Santa Clara,California
CA-2017-157749,Chicago,Illinois
CA-2015-131926,Lakeville,Minnesota
CA-2017-154739,San Francisco,California
CA-2017-145625,San Diego,California
CA-2017-146941,New York City,New York
US-2016-159982,Chicago,Illinois
CA-2018-163139,New York City,New York
US-2018-155299,Pasadena,Texas
US-2015-106992,Houston,Texas
CA-2017-125318,Chicago,Illinois
CA-2016-155040,Brentwood,California
CA-2018-136826,Chapel Hill,North Carolina
CA-2017-111010,Morristown,New Jersey
US-2018-145366,Cincinnati,Ohio
CA-2018-163979,San Francisco,California
CA-2016-155334,San Francisco,California
CA-2018-118136,Inglewood,California
CA-2018-132976,Philadelphia,Pennsylvania
US-2016-161991,Houston,Texas
CA-2016-130890,Los Angeles,California
CA-2016-130883,Portland,Oregon
CA-2017-112697,Tamarac,Florida
CA-2017-110772,Columbus,Ohio
CA-2015-111451,Colorado Springs,Colorado
CA-2017-142545,Belleville,New Jersey
US-2018-152380,Chicago,Illinois
CA-2016-144253,New York City,New York
CA-2015-130960,Taylor,Michigan
CA-2015-111003,Lakewood,New Jersey
CA-2018-126774,Arlington,Virginia
CA-2017-142902,Arvada,Colorado
CA-2015-120887,Hackensack,New Jersey
CA-2015-167850,Saint Petersburg,Florida
CA-2015-164259,Philadelphia,Pennsylvania
CA-2015-164973,New York City,New York
CA-2015-156601,Long Beach,California
CA-2017-162138,Hesperia,California
CA-2018-153339,Murfreesboro,Tennessee
US-2017-141544,Philadelphia,Pennsylvania
US-2017-150147,Philadelphia,Pennsylvania
CA-2016-137946,Los Angeles,California
CA-2015-129924,San Francisco,California
CA-2016-128167,Layton,Utah
CA-2015-122336,Philadelphia,Pennsylvania
US-2016-120712,Austin,Texas
CA-2018-169901,San Francisco,California
CA-2018-134306,Lowell,Massachusetts
CA-2017-129714,New York City,New York
CA-2017-138520,New York City,New York
CA-2017-130001,Charlotte,North Carolina
CA-2018-155698,Columbus,Georgia
CA-2018-144904,New York City,New York
CA-2015-123344,San Francisco,California
CA-2017-155516,Manchester,Connecticut
CA-2018-104745,Harlingen,Texas
US-2015-119137,Tucson,Arizona
US-2017-134656,Quincy,Illinois
US-2018-134481,Franklin,Massachusetts
CA-2016-130792,Houston,Texas
CA-2017-134775,San Francisco,California
CA-2016-125395,Taylor,Michigan
US-2016-168935,Pembroke Pines,Florida
CA-2016-122756,Philadelphia,Pennsylvania
CA-2015-115973,Cincinnati,Ohio
CA-2018-101798,New York City,New York
US-2015-135972,Des Moines,Washington
US-2015-134971,Peoria,Illinois
CA-2018-102946,Las Vegas,Nevada
CA-2018-165603,Warwick,Rhode Island
CA-2016-122259,Jackson,Michigan
CA-2017-108987,Houston,Texas
CA-2015-113166,Miami,Florida
CA-2015-155208,Wilmington,North Carolina
CA-2018-117933,New York City,New York
CA-2018-117457,San Francisco,California
CA-2018-142636,Seattle,Washington
CA-2018-122105,Huntington Beach,California
CA-2017-148796,Los Angeles,California
CA-2018-154816,Richmond,Kentucky
CA-2018-110478,Los Angeles,California
CA-2015-142048,Louisville,Colorado
CA-2018-125388,Lawrence,Massachusetts
CA-2018-155705,Jackson,Mississippi
CA-2018-149160,Canton,Michigan
CA-2015-101476,New Rochelle,New York
CA-2018-152275,San Antonio,Texas
US-2017-123750,Gastonia,North Carolina
CA-2017-127369,Lowell,Massachusetts
US-2015-150574,Jacksonville,Florida
CA-2017-147375,Chicago,Illinois
CA-2018-130043,Houston,Texas
CA-2018-157252,New York City,New York
CA-2017-115756,Detroit,Michigan
CA-2018-154214,Columbus,Indiana
CA-2017-166674,Auburn,New York
CA-2018-147277,Akron,Ohio
CA-2017-100153,Norman,Oklahoma
US-2015-110674,Concord,California
US-2017-157945,Decatur,Illinois
CA-2016-109638,Seattle,Washington
CA-2017-109869,Phoenix,Arizona
US-2016-101399,Park Ridge,Illinois
CA-2018-154907,Amarillo,Texas
US-2017-100419,Chicago,Illinois
CA-2016-154144,Lindenhurst,New York
CA-2015-144666,San Francisco,California
CA-2017-103891,Los Angeles,California
CA-2017-152632,Troy,New York
CA-2017-100790,New York City,New York
CA-2015-134677,San Diego,California
CA-2015-127691,New York City,New York
CA-2018-140963,Los Angeles,California
CA-2015-154627,Chicago,Illinois
CA-2015-133753,Huntsville,Texas
CA-2015-113362,Rochester,New York
CA-2017-169166,Seattle,Washington
US-2017-120929,Memphis,Tennessee
CA-2016-134782,Fayetteville,Arkansas
CA-2017-126158,Costa Mesa,California
US-2017-105578,Parker,Colorado
CA-2018-134978,New York City,New York
CA-2016-145352,Atlanta,Georgia
CA-2018-135307,Gladstone,Missouri
CA-2017-106341,Newark,Ohio
CA-2018-163405,Los Angeles,California
CA-2018-127432,Great Falls,Montana
CA-2016-157812,Houston,Texas
CA-2018-145142,Detroit,Michigan
US-2017-139486,Los Angeles,California
CA-2016-158792,Lawrence,Massachusetts
CA-2018-113558,Lakeland,Florida
US-2016-138303,Philadelphia,Pennsylvania
CA-2016-102848,Los Angeles,California
US-2018-129441,Los Angeles,California
CA-2017-168753,Montgomery,Alabama
CA-2017-126613,Mesa,Arizona
US-2018-122637,Chicago,Illinois
CA-2016-147851,New York City,New York
CA-2016-134894,Henderson,Kentucky
CA-2015-140795,Green Bay,Wisconsin
CA-2017-136924,Tucson,Arizona
US-2016-120161,Springfield,Ohio
CA-2015-103849,Fort Worth,Texas
CA-2018-162929,New York City,New York
CA-2016-113173,Chicago,Illinois
CA-2017-136406,San Francisco,California
CA-2018-112774,Jacksonville,Florida
CA-2018-101945,Houston,Texas
CA-2018-100650,Anaheim,California
CA-2015-155852,Wilmington,North Carolina
CA-2017-113243,Los Angeles,California
CA-2018-118731,San Francisco,California
CA-2015-145576,Tampa,Florida
CA-2016-130736,Seattle,Washington
CA-2018-137099,Los Angeles,California
CA-2018-156951,Seattle,Washington
CA-2018-164826,New York City,New York
CA-2017-127250,Marysville,Washington
CA-2016-149713,Long Beach,California
CA-2018-118640,Chicago,Illinois
CA-2016-132906,Los Angeles,California
CA-2018-145233,Denver,Colorado
CA-2016-128139,Richmond,Kentucky
US-2017-156986,Salem,Oregon
CA-2015-135405,Laredo,Texas
CA-2015-131450,San Diego,California
CA-2017-120180,Philadelphia,Pennsylvania
US-2017-100720,Philadelphia,Pennsylvania
CA-2015-149958,Tampa,Florida
US-2015-105767,Philadelphia,Pennsylvania
CA-2017-161816,Dallas,Texas
CA-2017-121223,Philadelphia,Pennsylvania
CA-2018-138611,Grove City,Ohio
CA-2018-117947,New York City,New York
US-2015-111171,Chicago,Illinois
CA-2016-138009,Dearborn,Michigan
CA-2018-163020,New York City,New York
CA-2018-153787,Seattle,Washington
CA-2018-133431,San Francisco,California
US-2017-135720,Aurora,Colorado
CA-2018-144694,Miami,Florida
CA-2016-168004,Warner Robins,Georgia
US-2017-123470,Aurora,Colorado
CA-2017-115917,Vallejo,California
CA-2017-147067,Minneapolis,Minnesota
CA-2018-167913,Mission Viejo,California
CA-2018-106103,Rochester Hills,Michigan
US-2018-127719,Plainfield,New Jersey
CA-2018-126221,Columbus,Indiana
CA-2017-103947,Sierra Vista,Arizona
CA-2017-160745,Vancouver,Washington
CA-2017-132661,New York City,New York
CA-2018-140844,New York City,New York
CA-2017-137239,Columbus,Ohio
US-2017-156097,Aurora,Illinois
CA-2016-146563,Arlington,Texas
CA-2017-123666,New York City,New York
CA-2017-143308,Louisville,Kentucky
CA-2018-132682,Dallas,Texas
CA-2015-156314,Cleveland,Ohio
US-2018-106663,Chicago,Illinois
CA-2018-111178,Quincy,Illinois
CA-2018-130351,Columbus,Indiana
US-2018-119438,Tyler,Texas
CA-2017-164511,New York City,New York
US-2018-168116,Burlington,North Carolina
CA-2015-157784,Jackson,Mississippi
CA-2018-161480,New York City,New York
US-2015-117135,Waynesboro,Virginia
CA-2016-131534,Los Angeles,California
CA-2016-119291,Chester,Pennsylvania
CA-2018-114552,Cleveland,Ohio
CA-2017-163755,Seattle,Washington
CA-2016-142027,Long Beach,California
CA-2015-138527,Cary,North Carolina
CA-2015-112158,New York City,New York
CA-2015-113887,New York City,New York
CA-2018-146136,Palm Coast,Florida
US-2018-100048,Mount Vernon,New York
CA-2015-153150,Seattle,Washington
CA-2015-130092,Dover,Delaware
CA-2018-108910,Newark,Ohio
CA-2015-104472,Orem,Utah
CA-2017-112942,Los Angeles,California
CA-2017-142335,Detroit,Michigan
CA-2015-117429,Philadelphia,Pennsylvania
CA-2017-114713,Hialeah,Florida
CA-2018-144113,Austin,Texas
US-2017-150861,Oceanside,New York
CA-2018-131954,Seattle,Washington
CA-2015-132500,San Francisco,California
CA-2015-112326,Naperville,Illinois
US-2017-146710,Dallas,Texas
CA-2015-124429,San Diego,California
CA-2017-150889,Evanston,Illinois
CA-2018-126074,Trenton,Michigan
CA-2017-110499,San Francisco,California
CA-2016-135272,Los Angeles,California
CA-2017-140928,Jacksonville,Florida
CA-2015-106803,Cottage Grove,Minnesota
CA-2018-117240,New York City,New York
CA-2018-133333,Green Bay,Wisconsin
CA-2016-112319,Los Angeles,California
CA-2018-126046,Atlanta,Georgia
CA-2016-114923,Columbus,Ohio
CA-2015-162775,Bossier City,Louisiana
CA-2015-106810,Saint Petersburg,Florida
CA-2017-157245,Arlington,Virginia
CA-2018-104220,Des Moines,Iowa
CA-2015-165974,Cincinnati,Ohio
CA-2016-144267,San Francisco,California
US-2016-157014,Columbus,Ohio
CA-2016-154921,Columbia,South Carolina
CA-2018-129567,Lancaster,California
CA-2016-154620,Lancaster,California
CA-2016-115938,Richmond,Virginia
CA-2017-105256,Asheville,North Carolina
CA-2015-156433,San Francisco,California
CA-2018-151428,Rochester,Minnesota
CA-2016-124653,Rochester,New York
CA-2016-101910,Lake Elsinore,California
CA-2018-105809,San Diego,California
CA-2017-136133,New York City,New York
CA-2017-115504,Monroe,Louisiana
CA-2018-135783,San Francisco,California
CA-2015-134313,Denver,Colorado
CA-2016-140921,Omaha,Nebraska
CA-2015-151995,Edmonds,Washington
CA-2018-143686,Santa Ana,California
CA-2016-106565,Milwaukee,Wisconsin
CA-2017-149370,Philadelphia,Pennsylvania
CA-2015-140858,Philadelphia,Pennsylvania
CA-2018-101434,Belleville,New Jersey
US-2015-102071,San Francisco,California
CA-2018-126956,Lakeville,Minnesota
CA-2018-129462,Florence,Kentucky
CA-2017-165316,Tampa,Florida
US-2015-115987,Tyler,Texas
US-2018-156083,Columbia,Tennessee
US-2017-137547,Fort Worth,Texas
CA-2016-100454,New York City,New York
CA-2017-161669,Los Angeles,California
CA-2016-114300,Louisville,Kentucky
CA-2018-107503,Lorain,Ohio
CA-2015-107755,Linden,New Jersey
CA-2017-152534,Salinas,California
CA-2017-113747,Jackson,Mississippi
CA-2017-123274,New York City,New York
CA-2015-125612,New York City,New York
CA-2018-161984,New Brunswick,New Jersey
CA-2015-133851,San Francisco,California
CA-2017-134474,Jacksonville,Florida
CA-2015-149020,Springfield,Virginia
CA-2017-134362,Philadelphia,Pennsylvania
CA-2015-136742,Lancaster,Pennsylvania
CA-2017-158099,Philadelphia,Pennsylvania
CA-2016-131128,Concord,New Hampshire
CA-2015-148488,New York City,New York
CA-2018-114636,Charlotte,North Carolina
CA-2017-116736,Concord,New Hampshire
US-2015-158638,Philadelphia,Pennsylvania
CA-2018-111689,New York City,New York
CA-2016-129098,Springfield,Virginia
US-2018-123463,San Francisco,California
CA-2017-165148,Detroit,Michigan
CA-2015-134061,Rochester,New York
CA-2016-143602,Los Angeles,California
CA-2018-115364,San Diego,California
CA-2018-150707,Columbia,Maryland
CA-2015-104976,San Francisco,California
CA-2018-132934,New Rochelle,New York
CA-2018-133256,Detroit,Michigan
CA-2017-105494,San Francisco,California
CA-2017-140634,Houston,Texas
CA-2015-144407,Detroit,Michigan
CA-2018-160983,Auburn,New York
US-2017-114622,Springfield,Ohio
CA-2018-150959,Garland,Texas
CA-2018-132353,Chicago,Illinois
CA-2017-130477,Los Angeles,California
CA-2018-143259,New York City,New York
CA-2018-137596,Jackson,Michigan
CA-2016-133627,Norwich,Connecticut
CA-2018-102519,Milwaukee,Wisconsin
US-2015-141215,San Antonio,Texas
CA-2017-165218,Dallas,Texas
CA-2015-138296,Alexandria,Virginia
CA-2016-111164,New York City,New York
CA-2017-149797,New York City,New York
CA-2015-132962,Philadelphia,Pennsylvania
CA-2016-115091,Springfield,Virginia
CA-2018-144932,Toledo,Ohio
CA-2018-114216,Philadelphia,Pennsylvania
CA-2017-140081,Philadelphia,Pennsylvania
US-2018-111745,Farmington,New Mexico
CA-2016-148250,Riverside,California
CA-2017-105760,San Francisco,California
CA-2017-142958,Torrance,California
CA-2016-120880,Seattle,Washington
US-2016-140200,Mesa,Arizona
US-2018-110576,Philadelphia,Pennsylvania
CA-2018-131156,Philadelphia,Pennsylvania
CA-2018-136539,Round Rock,Texas
CA-2018-119305,Jackson,Mississippi
CA-2018-102414,Phoenix,Arizona
CA-2016-112571,Oceanside,California
CA-2018-152142,San Francisco,California
CA-2016-160059,Fayetteville,Arkansas
CA-2017-120859,San Francisco,California
CA-2015-127488,Boca Raton,Florida
CA-2018-135279,New York City,New York
CA-2015-115791,Philadelphia,Pennsylvania
US-2018-103247,New York City,New York
US-2018-100209,Portland,Oregon
CA-2018-159366,Detroit,Michigan
CA-2017-145499,Wilmington,North Carolina
CA-2016-157035,Columbus,Indiana
CA-2017-144939,New York City,New York
CA-2015-163419,Louisville,Colorado
CA-2018-100314,Pasadena,Texas
CA-2016-146829,Houston,Texas
CA-2018-167899,Auburn,New York
CA-2016-153549,Jacksonville,Florida
CA-2017-110023,New York City,New York
CA-2017-105585,San Jose,California
CA-2015-117639,Virginia Beach,Virginia
CA-2016-162537,Henderson,Kentucky
CA-2017-155488,Vancouver,Washington
CA-2016-124891,New York City,New York
CA-2016-126445,Murrieta,California
CA-2016-111199,Jacksonville,North Carolina
CA-2016-105312,Scottsdale,Arizona
US-2018-106705,Burlington,Iowa
CA-2018-135034,Chicago,Illinois
CA-2015-158540,San Diego,California
CA-2018-118437,Olympia,Washington
US-2016-126214,Seattle,Washington
CA-2016-133025,Los Angeles,California
CA-2016-108665,New York City,New York
CA-2016-124450,Washington,District of Columbia
CA-2016-167269,Philadelphia,Pennsylvania
CA-2018-106964,Los Angeles,California
CA-2017-126529,Springfield,Ohio
CA-2015-163552,Hackensack,New Jersey
CA-2017-109820,Cincinnati,Ohio
CA-2017-113061,Jefferson City,Missouri
CA-2016-127418,Los Angeles,California
CA-2018-121818,Burlington,North Carolina
CA-2017-127670,Saint Peters,Missouri
CA-2017-102981,New York City,New York
CA-2018-115651,Chicago,Illinois
CA-2018-152702,Rockford,Illinois
CA-2017-169103,Miami,Florida
CA-2015-139192,San Francisco,California
US-2016-153500,Philadelphia,Pennsylvania
CA-2016-110667,New York City,New York
CA-2018-167150,San Diego,California
CA-2017-105284,Philadelphia,Pennsylvania
US-2016-125374,Houston,Texas
CA-2016-161263,Toledo,Ohio
CA-2017-157686,San Francisco,California
US-2018-139955,Brownsville,Texas
US-2016-150161,Philadelphia,Pennsylvania
CA-2016-144652,Los Angeles,California
CA-2017-152814,Denver,Colorado
CA-2018-106943,New York City,New York
CA-2017-134348,Mesa,Arizona
CA-2017-161781,Columbus,Indiana
CA-2018-132521,Seattle,Washington
CA-2016-110016,Detroit,Michigan
US-2017-143819,Yonkers,New York
CA-2017-167584,Des Moines,Iowa
CA-2017-166163,Oakland,California
CA-2018-158407,Monroe,North Carolina
CA-2016-143490,San Diego,California
CA-2016-165085,Clinton,Maryland
CA-2018-160423,Charlotte,North Carolina
CA-2015-159338,Los Angeles,California
CA-2017-107216,San Francisco,California
US-2018-145863,Houston,Texas
CA-2017-112340,Riverside,California
US-2017-110156,Houston,Texas
CA-2018-140585,Encinitas,California
CA-2017-144855,San Francisco,California
CA-2016-142755,Roswell,Georgia
US-2015-147627,Jonesboro,Arkansas
CA-2016-105970,Richmond,Indiana
CA-2017-112102,Springfield,Virginia
US-2017-114776,Antioch,California
US-2017-134908,Philadelphia,Pennsylvania
US-2017-148803,Homestead,Florida
CA-2017-152170,La Porte,Indiana
CA-2015-146969,Los Angeles,California
CA-2016-112452,Lansing,Michigan
CA-2016-113971,Cuyahoga Falls,Ohio
CA-2017-160395,Reno,Nevada
CA-2015-136567,Harrisonburg,Virginia
CA-2017-149314,Los Angeles,California
CA-2018-147039,Minneapolis,Minnesota
CA-2015-126522,Escondido,California
CA-2015-127964,New York City,New York
CA-2015-117709,Jackson,Michigan
CA-2016-125416,Seattle,Washington
CA-2018-145226,New York City,New York
US-2015-100279,Royal Oak,Michigan
CA-2015-158064,Los Angeles,California
US-2016-104430,Bloomington,Illinois
CA-2016-132080,New York City,New York
CA-2017-161207,Concord,New Hampshire
CA-2015-120243,Los Angeles,California
CA-2017-113621,Rockville,Maryland
CA-2017-168081,Houston,Texas
CA-2015-128146,Lakewood,New Jersey
CA-2018-138779,Jacksonville,North Carolina
CA-2015-127131,Seattle,Washington
CA-2018-117212,Los Angeles,California
US-2016-130519,Coral Springs,Florida
CA-2017-130946,Houston,Texas
CA-2017-114727,Denver,Colorado
CA-2018-133235,Charlotte,North Carolina
CA-2017-137050,New York City,New York
US-2018-118087,Philadelphia,Pennsylvania
CA-2015-110184,Los Angeles,California
CA-2017-126004,New York City,New York
CA-2018-100013,Los Angeles,California
CA-2016-132570,Buffalo,New York
CA-2017-153682,Cincinnati,Ohio
CA-2017-144344,Boynton Beach,Florida
CA-2015-127012,Seattle,Washington
CA-2017-128727,New York City,New York
US-2017-162859,New York City,New York
CA-2018-133641,Gulfport,Mississippi
CA-2015-168494,Fresno,California
CA-2018-115602,New York City,New York
CA-2016-154956,Milwaukee,Wisconsin
CA-2018-144638,Chester,Pennsylvania
US-2017-168620,Charlotte,North Carolina
CA-2018-117079,Jacksonville,Florida
US-2017-144393,Greenville,North Carolina
CA-2018-105053,Long Beach,New York
CA-2017-155992,La Porte,Indiana
CA-2018-110380,San Francisco,California
US-2015-167738,Los Angeles,California
CA-2018-121412,Louisville,Colorado
CA-2018-100426,Florence,Alabama
US-2017-103646,Chicago,Illinois
CA-2017-119186,Fort Worth,Texas
CA-2017-148698,Houston,Texas
CA-2015-163293,Macon,Georgia
CA-2017-160815,Cedar Rapids,Iowa
CA-2018-122154,Jacksonville,Florida
US-2016-149692,Austin,Texas
CA-2017-119445,Providence,Rhode Island
CA-2016-124268,New York City,New York
CA-2017-154711,New York City,New York
CA-2017-163384,San Francisco,California
CA-2016-101707,San Diego,California
CA-2016-138898,Pueblo,Colorado
CA-2018-115427,Fairfield,California
CA-2017-134425,Saint Paul,Minnesota
CA-2016-121391,San Francisco,California
CA-2017-137043,Springfield,Virginia
CA-2016-115847,Arlington,Virginia
US-2018-126179,Columbus,Georgia
CA-2017-101966,Houston,Texas
CA-2017-141397,Pasadena,California
CA-2017-141082,Lawrence,Massachusetts
US-2017-134488,Columbus,Ohio
CA-2017-145919,Los Angeles,California
CA-2018-157651,Philadelphia,Pennsylvania
CA-2015-160773,Deltona,Florida
CA-2018-167703,Cincinnati,Ohio
CA-2018-121804,Murray,Kentucky
CA-2018-162635,Wilmington,North Carolina
CA-2015-107153,Lawrence,Massachusetts
US-2015-117058,Chicago,Illinois
CA-2016-120439,Philadelphia,Pennsylvania
CA-2017-128258,Norwich,Connecticut
CA-2018-106033,San Francisco,California
CA-2017-142762,San Francisco,California
CA-2018-127705,Lorain,Ohio
CA-2015-122567,Dallas,Texas
CA-2015-121664,Los Angeles,California
CA-2017-122133,Middletown,Connecticut
US-2018-123281,Los Angeles,California
CA-2018-100524,New York City,New York
CA-2018-113481,Jacksonville,North Carolina
CA-2016-131758,Freeport,New York
CA-2015-118339,Lakeville,Minnesota
CA-2015-153976,Evanston,Illinois
CA-2017-162901,Arlington,Virginia
CA-2018-162978,San Francisco,California
US-2015-160444,Houston,Texas
CA-2017-145247,Louisville,Kentucky
CA-2018-160045,Fort Worth,Texas
US-2015-151925,Los Angeles,California
CA-2018-125199,Philadelphia,Pennsylvania
US-2018-155425,Tucson,Arizona
CA-2018-133249,Pico Rivera,California
US-2016-103471,Colorado Springs,Colorado
CA-2018-136672,Clinton,Maryland
US-2015-157021,Vallejo,California
CA-2016-120362,Provo,Utah
CA-2015-126361,Pleasant Grove,Utah
US-2017-100566,Aurora,Illinois
US-2017-108504,Smyrna,Georgia
CA-2018-124828,Burlington,North Carolina
US-2018-117247,Aurora,Illinois
CA-2017-124485,New York City,New York
CA-2017-159212,Salem,Virginia
US-2017-161396,Columbus,Ohio
US-2015-118486,Philadelphia,Pennsylvania
CA-2017-130407,New York City,New York
US-2017-122245,Phoenix,Arizona
CA-2018-105144,Grand Prairie,Texas
CA-2017-136329,New York City,New York
CA-2015-146640,New York City,New York
CA-2018-115994,Costa Mesa,California
CA-2016-126697,Houston,Texas
CA-2016-124800,Mesa,Arizona
US-2016-164448,Salinas,California
CA-2018-122700,Columbus,Ohio
CA-2015-120768,Florence,Alabama
US-2017-153129,Seattle,Washington
CA-2018-106852,Parma,Ohio
CA-2016-139731,Amarillo,Texas
CA-2018-122735,Providence,Rhode Island
CA-2018-128160,San Francisco,California
CA-2018-117695,Richmond,Kentucky
CA-2016-166135,Aurora,Colorado
CA-2017-133725,Chicago,Illinois
CA-2018-102337,Chicago,Illinois
US-2015-112564,Philadelphia,Pennsylvania
CA-2016-145821,Los Angeles,California
US-2016-160150,Phoenix,Arizona
CA-2017-133711,Mobile,Alabama
CA-2018-148474,Columbus,Georgia
CA-2016-111297,New Bedford,Massachusetts
CA-2017-123722,Irving,Texas
CA-2015-155271,Middletown,Connecticut
CA-2016-119907,Seattle,Washington
US-2017-128902,Vineland,New Jersey
CA-2017-152289,Pasadena,Texas
US-2017-104794,New York City,New York
CA-2015-151708,Glendale,Arizona
CA-2016-100769,Jacksonville,Florida
CA-2018-139199,Detroit,Michigan
US-2016-161466,Philadelphia,Pennsylvania
CA-2018-164959,Los Angeles,California
US-2016-105676,Houston,Texas
CA-2017-113138,Niagara Falls,New York
US-2018-104955,New York City,New York
CA-2017-121958,Thomasville,North Carolina
CA-2018-121468,Westminster,California
US-2017-108455,San Francisco,California
CA-2018-101210,Jackson,Tennessee
US-2017-108098,Seattle,Washington
CA-2015-119032,New York City,New York
CA-2016-140410,Los Angeles,California
CA-2015-136280,Philadelphia,Pennsylvania
CA-2018-151911,New York City,New York
CA-2018-166436,New York City,New York
CA-2018-139661,Vancouver,Washington
CA-2015-123925,Columbus,Georgia
CA-2018-152485,Coppell,Texas
CA-2017-141586,San Francisco,California
CA-2018-130386,Austin,Texas
CA-2017-100468,Los Angeles,California
CA-2016-153388,Los Angeles,California
CA-2018-154935,New York City,New York
CA-2017-134208,Columbus,Georgia
CA-2018-108294,Omaha,Nebraska
CA-2018-103611,Los Angeles,California
CA-2018-100384,Pomona,California
CA-2018-112809,Dallas,Texas
US-2018-160759,Philadelphia,Pennsylvania
CA-2018-148446,North Las Vegas,Nevada
CA-2015-111059,Seattle,Washington
CA-2018-116204,San Francisco,California
CA-2018-109946,Chicago,Illinois
CA-2016-144806,Tucson,Arizona
CA-2017-122392,Allentown,Pennsylvania
CA-2016-148432,Newark,Delaware
CA-2016-103793,Miami,Florida
CA-2018-159884,Tempe,Arizona
CA-2017-139885,New York City,New York
CA-2018-124086,Laguna Niguel,California
CA-2017-112389,Bridgeton,New Jersey
CA-2018-121888,Everett,Massachusetts
CA-2015-166884,Columbus,Ohio
CA-2015-107181,San Diego,California
CA-2015-150245,Watertown,New York
CA-2016-111395,San Antonio,Texas
CA-2015-134278,New York City,New York
US-2018-124926,Houston,Texas
CA-2017-159345,San Diego,California
